_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
223,Cummer Lodge - 4th Fl North Unit,205 Cummer Ave,LTCH,Respiratory,Influenza A (Not subtyped),,2025-03-10,2025-03-24,N
224,Unity Health Toronto - Houses of Providence - 2W - Elm & Pine,3276 St. Clair Ave E,LTCH,Respiratory,COVID-19,,2025-03-10,2025-03-29,N
225,Ehatare Retirement Home,40 Old Kingston Rd,Retirement Home,Respiratory,Coronavirus*,,2025-03-10,2025-03-17,N
226,The Heritage Nursing Home - 2nd & 3rd Fl,1195 Queen St E,LTCH,Enteric,Norovirus,,2025-03-09,2025-03-21,N
227,Unity Health Toronto - St. Joseph's Health Centre - 2E,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2025-03-08,2025-03-15,N
228,"The Annex Retirement Residence - 1st, 2nd, 3rd & 4th Fl",123 Spadina Rd,Retirement Home,Respiratory,COVID-19,,2025-03-07,2025-03-24,N
229,Weston Terrace Care Community - 1st & 4th Fl,2005 Lawrence Ave W,LTCH,Respiratory,COVID-19,,2025-03-07,2025-04-07,N
230,St. George Care Community - 1st Fl,225 St. George St,LTCH,Respiratory,COVID-19,,2025-03-07,2025-03-21,N
231,Scarborough Health Network - Birchmount Hospital - G4C,3030 Birchmount Rd,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2025-03-07,2025-03-16,N
232,Carefree Lodge - 1st Fl,306 Finch Ave E,LTCH,Respiratory,Influenza A (H1),,2025-03-07,2025-03-19,N
233,Unity Health Toronto - Houses of Providence - 1E - Redwood & Birch,3276 St. Clair Ave E,LTCH,Respiratory,Coronavirus*,,2025-03-07,2025-03-20,N
234,Unity Health Toronto - Providence Healthcare Centre - A4,3276 St. Clair Ave E,Hospital-Chronic Care,Respiratory,COVID-19,,2025-03-07,2025-03-14,N
235,Wesburn Manor - 4 South,400 The West Mall,LTCH,Respiratory,Coronavirus*,,2025-03-07,2025-03-25,N
236,Belmont House - 2E,55 Belmont St,LTCH,Respiratory,COVID-19,,2025-03-07,2025-03-25,N
237,North York General Hospital - Seniors' Health Centre - 4th Fl,2 Buchan Crt,LTCH,Respiratory,Coronavirus*,,2025-03-06,2025-03-21,N
238,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LSSE,2075 Bayview Ave,LTCH,Enteric,Norovirus,,2025-03-06,2025-03-17,N
239,Extendicare Scarborough - 2 West,3830 Lawrence Ave E,LTCH,Respiratory,COVID-19,,2025-03-06,2025-03-14,N
240,Ehatare Retirement Home,40 Old Kingston Rd,Retirement Home,Respiratory,COVID-19,,2025-03-06,2025-03-29,N
